,shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,Coordinates,Adress
0,164,38.72011,-9.15486,1,"38.72011, -9.15486","Largo do Rato, Avenida Álvares Cabral, Santa Isabel, Campo de Ourique, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1250-015 SANTA ISABEL, Portugal"
1,164,38.72593,-9.14965,2,"38.72593, -9.14965","Ciclovia do Marques de Pombal, Coração de Jesus, Santo António, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, Portugal"
2,164,38.73024,-9.14703,3,"38.73024, -9.14703","Avenida Fontes Pereira de Melo, São Sebastião da Pedreira, Avenidas Novas, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1050-116, Portugal"
3,164,38.73483,-9.14528,4,"38.73483, -9.14528","Ciclovia Avenida da República, São Sebastião da Pedreira, Avenidas Novas, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1050-189, Portugal"
4,164,38.74079,-9.14673,5,"38.74079, -9.14673","Campo Pequeno, Ciclovia Avenida da República, São Sebastião da Pedreira, Avenidas Novas, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1050-189, Portugal"
5,164,38.74698,-9.14823,6,"38.74698, -9.14823","Entrecampos, Ciclovia Avenida da República, Sete Rios, Avenidas Novas, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1700-421, Portugal"
6,164,38.75144,-9.15915,7,"38.75144, -9.15915","Cidade Universitária, Avenida Professor Gama Pinto, Alvalade, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1649-028, Portugal"
7,164,38.76016,-9.15788,8,"38.76016, -9.15788","Campo Grande, Rua Cipriano Dourado, Quinta do Lambert, Lumiar, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1700-098, Portugal"
8,164,38.76745,-9.15549,9,"38.76745, -9.15549","Quinta das Conchas, Rua Luís Pastor de Macedo, Quinta do Lambert, Lumiar, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1750-149, Portugal"
9,164,38.77329,-9.15933,10,"38.77329, -9.15933","Colégio de São João de Brito, 28, Estrada da Torre, Bairro da Cruz Vermelha, Lumiar, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1750-314, Portugal"
10,164,38.77953,-9.15961,11,"38.77953, -9.15961","Ameixoeira, Azinhaga da Cidade, Charneca, Santa Clara, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1750-034 AMEIXOEIRA, Portugal"
11,164,38.78576,-9.1719,12,"38.78576, -9.1719","Senhor Roubado, Rua Combatentes 9 de Abril, Olival Basto, Odivelas, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 2675-533, Portugal"
12,164,38.79344,-9.17343,13,"38.79344, -9.17343","Metro Odivelas, IC 22, Amorosa, Quinta Nova, Odivelas, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 2675-309, Portugal"
13,165,38.79344,-9.17343,1,"38.79344, -9.17343","Metro Odivelas, IC 22, Amorosa, Quinta Nova, Odivelas, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 2675-309, Portugal"
14,165,38.78576,-9.1719,2,"38.78576, -9.1719","Senhor Roubado, Rua Combatentes 9 de Abril, Olival Basto, Odivelas, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 2675-533, Portugal"
15,165,38.77953,-9.15961,3,"38.77953, -9.15961","Ameixoeira, Azinhaga da Cidade, Charneca, Santa Clara, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1750-034 AMEIXOEIRA, Portugal"
16,165,38.77329,-9.15933,4,"38.77329, -9.15933","Colégio de São João de Brito, 28, Estrada da Torre, Bairro da Cruz Vermelha, Lumiar, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1750-314, Portugal"
17,165,38.76745,-9.15549,5,"38.76745, -9.15549","Quinta das Conchas, Rua Luís Pastor de Macedo, Quinta do Lambert, Lumiar, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1750-149, Portugal"
18,165,38.76016,-9.15788,6,"38.76016, -9.15788","Campo Grande, Rua Cipriano Dourado, Quinta do Lambert, Lumiar, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, 1700-098, Portugal"
